,p-value,p-value,p-value,significant,significant,significant
Time,2016-2017,2017-2018,2016-2018,2016-2017,2017-2018,2016-2018
Industry,,,,,,
Bank/ Non-Bank Fin. Institution,,,,False,False,False
Education,,0.035,0.035,False,True,True
Electronics/ Consumer Durables,,0.500,0.500,False,False,False
Garments/ Textile,,0.025,0.025,False,True,True
Manufacturing (Heavy Industry),,0.182,0.182,False,False,False
Media (Satellite/ Print/ Online)/ Advertising/ Event Mgt.,,0.038,0.038,False,True,True
NGO/Development,,0.184,0.184,False,False,False
Telecommunication,,,,False,False,False
