,p-value,p-value,p-value,significant,significant,significant
Time,2016-2017,2017-2018,2016-2018,2016-2017,2017-2018,2016-2018
Industry,,,,,,
Bank/ Non-Bank Fin. Institution,,,,False,False,False
Education,0.853,0.657,0.55,False,False,False
Electronics/ Consumer Durables,0.13,0.078,0.044,False,True,True
Garments/ Textile,0.076,0.118,0.564,True,False,False
Manufacturing (Heavy Industry),0.248,0.429,0.146,False,False,False
Media ,0.828,0.081,0.267,False,True,False
NGO/Development,0.056,0.16,0.672,True,False,False
Telecommunication,0.536,0.788,0.738,False,False,False
