,2016,2017,2018,2019,2020,2021
,Rank,Rank,Rank,Rank,Rank,Rank
Database,5,2,1,1,1,2
Networking,4,4,4,5,7,5
Testing & QA,12,10,12,11,9,6
Java,23,26,24,27,27,28
PHP,2,3,5,6,8,10
JavaScript,1,1,2,2,3,4
API,15,9,8,4,2,1
SQL,9,11,11,13,14,12
jQuery,7,8,10,10,10,14
WordPress,19,23,21,30,22,29
Research,29,25,17,19,18,15
CSS,6,6,7,8,6,9
HTML,3,5,6,7,5,7
Ajax,14,15,16,20,23,27
C,20,19,27,29,32,31
Laravel,31,29,20,18,13,19
iOS,27,31,31,34,33,30
ASP.NET,13,17,23,21,29,26
Git,34,27,30,22,19,17
Cloud,37,37,36,37,31,33
Agile,33,36,35,31,30,32
OOP,22,21,26,16,17,16
Angular,25,24,22,25,25,22
Debugging,17,14,14,14,16,11
Photoshop,28,28,29,28,35,39
Illustrator,32,35,32,32,37,40
Python,39,39,40,39,40,36
aws,41,42,41,42,39,38
Marketing,26,20,13,12,15,18
SQL Server,45,43,43,45,45,45
Design Pattern,44,45,45,44,44,44
node js,43,44,44,43,43,43
Andriod,21,22,19,23,21,20
SEO,35,33,28,26,24,21
MySQL,10,13,15,15,12,13
Oracle,24,32,34,33,38,34
ERP,36,34,37,38,36,37
MVC,16,16,18,17,26,24
UI Design,8,7,3,3,4,3
Linux,30,30,33,35,34,35
BootSrap,18,18,25,24,20,25
React,42,41,38,36,28,23
Spring,38,40,42,40,41,41
Documentation,11,12,9,9,11,8
CCTV,40,38,39,41,42,42
