,p-value,p-value,p-value,significant,significant,significant
Time,2016-2017,2017-2018,2016-2018,2016-2017,2017-2018,2016-2018
Industry,,,,,,
Bank/ Non-Bank Fin. Institution,,0.009,0.009,False,True,True
Education,0.576,0.013,0.287,False,True,False
Electronics/ Consumer Durables,,0.081,0.081,False,True,True
Garments/ Textile,,0.003,0.003,False,True,True
Govt./ Semi-Govt./ Autonomous,,,,False,False,False
Manufacturing (Heavy Industry),,0.078,0.078,False,True,True
NGO/Development,0.333,0.001,0.001,False,True,True
Telecommunication,,0.043,0.043,False,True,True
