,p-value,p-value,p-value,significant,significant,significant
Time,2016-2017,2017-2018,2016-2018,2016-2017,2017-2018,2016-2018
Industry,,,,,,
Bank/ Non-Bank Fin. Institution,,,,False,False,False
Education,,,,False,False,False
Electronics/ Consumer Durables,,,,False,False,False
Garments/ Textile,,,,False,False,False
Govt./ Semi-Govt./ Autonomous,,,,False,False,False
Information Technology (IT),,,,False,False,False
Manufacturing (Heavy Industry),,,,False,False,False
NGO/Development,,,,False,False,False
Others,,,,False,False,False
Telecommunication,,,,False,False,False
