,p-value,p-value,p-value,significant,significant,significant
Time,2016-2017,2017-2018,2016-2018,2016-2017,2017-2018,2016-2018
Industry,,,,,,
Bank/ Non-Bank Fin. Institution,0.347,0.012,0.002,False,True,True
Education,0.351,0.675,0.391,False,False,False
Electronics/ Consumer Durables,0.94,0.016,0,False,True,True
Garments/ Textile,0.258,0.782,0.381,False,False,False
Manufacturing (Heavy Industry),0.4,0.473,1,False,False,False
Media ,,,,False,False,False
NGO/Development,,0.001,0.001,False,True,True
Telecommunication,0.797,0.11,0.06,False,False,True
