,"(2016, 2017)","(2017, 2018)","(2018, 2019)","(2019, 2020)","(2020, 2021)"
Software Developers,False,False,True,True,True
Project Management Specialists,False,False,False,True,True
Web Developers,False,False,True,True,True
Computer Systems Engineers/Architects,,,,,
Web and Digital Interface Designers,,,,,
"Computer Occupations, All Other",,,,,
Computer User Support Specialists,,,,,
Business Intelligence Analysts,,,,,
Search Marketing Strategists,,,,,
Network and Computer Systems Administrators,,,,,
