,"(2016, 2017)","(2017, 2018)","(2018, 2019)","(2019, 2020)","(2020, 2021)"
Information Technology (IT),0.271,0.000,0.000,0.576,0.133
Others,0.662,0.000,0.000,0.593,0.454
Garments/ Textile,0.343,0.000,0.000,0.483,0.635
Telecommunication,0.002,0.000,0.000,0.110,0.772
Education,0.692,0.000,0.001,0.081,0.449
NGO/Development,0.019,0.000,0.000,0.993,0.043
Manufacturing (Heavy Industry),0.817,0.000,0.000,0.904,0.245
Bank/ Non-Bank Fin. Institution,0.247,0.000,0.000,0.703,0.027
Govt./ Semi-Govt./ Autonomous,0.958,0.023,0.125,0.134,0.027
Wholesale/ Retail/ Export-Import,0.981,0.000,0.012,0.938,0.109
