,"(2016, 2017)","(2017, 2018)","(2018, 2019)","(2019, 2020)","(2020, 2021)"
Information Technology (IT),0.997,0.098,0.001,0.000,0.000
Others,0.795,0.025,0.516,0.023,0.184
Garments/ Textile,0.991,0.729,0.613,0.001,0.070
Telecommunication,0.903,0.456,0.499,0.959,0.086
Education,0.640,0.846,0.187,0.289,0.212
NGO/Development,0.810,0.994,0.676,0.124,0.470
Manufacturing (Heavy Industry),0.805,0.906,0.015,0.528,0.019
Bank/ Non-Bank Fin. Institution,0.080,0.959,0.678,0.320,0.278
Govt./ Semi-Govt./ Autonomous,0.968,0.630,0.393,0.815,0.758
Wholesale/ Retail/ Export-Import,0.120,0.803,0.001,0.210,0.043
