,"(2016, 2017)","(2017, 2018)","(2018, 2019)","(2019, 2020)","(2020, 2021)"
Software Developers,False,False,False,True,False
Project Management Specialists,False,False,True,False,False
Web Developers,False,True,False,True,False
Computer Systems Engineers/Architects,,,,,
Web and Digital Interface Designers,,,,,
"Computer Occupations, All Other",,,,,
Computer User Support Specialists,,,,,
Business Intelligence Analysts,,,,,
Search Marketing Strategists,,,,,
Network and Computer Systems Administrators,,,,,
