,2016,2017,2018,2019,2020,2021
HTML,1,1,5,3,2,3
PHP,2,4,6,4,5,6
CSS,3,3,3,5,3,4
JavaScript,4,2,1,1,1,1
Database,5,5,2,2,4,2
Marketing,6,7,4,6,6,5
jQuery,7,6,7,8,9,10
SEO,8,11,10,9,8,8
OOP,9,9,15,11,11,16
MySQL,10,8,9,10,12,9
WordPress,11,17,16,22,13,14
MVC,12,12,17,14,22,17
C,13,19,18,19,25,25
AJAX,14,10,11,16,18,19
C#,15,21,21,23,27,26
Android,16,15,12,12,15,13
Bootstrap,17,16,19,17,16,22
Linux,18,18,30,28,26,29
ERP,19,20,20,20,20,18
JAVA,20,13,14,15,19,21
Photoshop,21,26,24,26,32,34
Oracle,22,30,31,29,33,35
Illustrator,23,32,33,33,36,36
ASP.NET,24,29,28,27,30,31
SQL Server,25,22,22,30,31,28
iOS,26,28,27,31,21,20
SQL,27,25,23,25,24,23
API,28,14,8,7,7,7
Windows,29,24,25,21,28,30
Laravel,30,23,13,13,10,11
Git,31,27,26,18,14,12
AWS,32,38,38,37,35,33
Python,33,33,35,34,29,27
Angular,34,31,29,24,23,24
React,35,37,32,32,17,15
Excel,36,34,34,35,37,37
Word,37,35,37,38,39,38
QA,38,39,36,36,34,32
PowerPoint,39,36,39,39,38,39
OneNote,40,40,40,40,40,40
