,2016,2017,2018,2019,2020,2021
HTML,1,1,5,3,2,3
PHP,2,4,6,4,5,6
CSS,3,3,3,5,3,4
JavaScript,4,2,1,1,1,1
Database,5,5,2,2,4,2
Marketing,6,7,4,6,6,5
jQuery,7,6,7,8,9,10
SEO,8,11,10,9,8,8
OOP,9,9,15,11,11,16
MySQL,10,8,9,10,12,9
MVC,11,12,17,14,21,17
WordPress,12,17,16,22,13,14
AJAX,13,10,11,16,18,18
C,14,19,18,19,25,25
C#,15,21,21,23,27,26
ERP,16,20,20,20,20,19
Photoshop,17,26,24,26,32,34
Android,18,15,12,12,15,13
Bootstrap,19,16,19,17,16,22
JAVA,20,13,14,15,19,21
Linux,21,18,30,28,26,28
iOS,22,28,27,31,22,20
Illustrator,23,32,33,33,36,36
Oracle,24,30,31,30,33,35
ASP.NET,25,29,28,27,30,31
SQL Server,26,22,22,29,31,29
SQL,27,25,23,25,24,23
API,28,14,8,7,7,7
Windows,29,23,25,21,28,30
Laravel,30,24,13,13,10,11
Git,31,27,26,18,14,12
AWS,32,38,38,37,35,33
Python,33,33,35,34,29,27
Angular,34,31,29,24,23,24
React,35,37,32,32,17,15
Excel,36,34,34,35,37,37
QA,37,39,36,36,34,32
Word,38,35,37,38,39,38
PowerPoint,39,36,39,39,38,39
